User_ID,Book_ID,Rating
14008088,14116,5
14008088,14118,5
14008088,24812,5
14008088,72915,5
14008088,72910,5
14008088,76234,5
14008088,77174,5
14008088,7356990,5
14008088,87420,5
14008088,140130,5
14008088,146122,5
14008088,146128,5
14008088,166353,5
14008088,166356,5
14008088,166396,5
14008088,166399,5
14008088,179173,5
14008088,9602495,5
14008088,22446777,5
14008088,13498737,5
107704225,28575405,5
107704225,36381681,5
107704225,9602495,5
107704225,13498737,5
107704225,26170109,5
107704225,583569,5
107704225,24523250,5
107704225,34835814,5
107704225,55310550,5
107704225,12664136,5
107704225,31118343,5
107704225,920607,5
107704225,36634145,5
107704225,16123795,5
107704225,24479313,5
107704225,11386578,5
107704225,17828716,5
107704225,17236862,5
107704225,33219228,5
107704225,23439995,5
87324,10222,5
87324,10365,5
87324,6748,5
87324,3579,5
87324,33917,5
87324,25084,5
87324,30119,5
87324,370493,5
87324,5148,5
87324,12873,5
87324,49011,5
87324,158856,5
87324,96532,5
87324,106164,5
87324,107223,5
87324,113185,5
87324,129903,5
87324,410810,5
87324,13,5
87324,145359,5
24175715,23807,5
24175715,370493,5
24175715,32506,5
24175715,28186,5
24175715,537640,5
24175715,76104,5
24175715,439288,5
24175715,10569,5
24175715,28169788,5
24175715,223379,5
24175715,223380,5
24175715,9602495,5
24175715,13498737,5
24175715,248704,5
24175715,241899,5
24175715,17665878,5
24175715,294042,5
24175715,28803832,5
24175715,32499,5
24175715,547866,5
148958882,127712,5
148958882,23807,5
148958882,31259,5
148958882,36381681,5
148958882,59419366,5
148958882,115030,5
148958882,18478222,5
148958882,10507,5
148958882,244526,5
148958882,4671,5
148958882,22034,5
148958882,429138,5
148958882,18716413,5
148958882,4487566,5
148958882,11588,5
148958882,7869,5
148958882,183822,5
148958882,59952,5
148958882,23401026,5
148958882,21787,5
2736147,297627,5
2736147,86666,5
2736147,13440,5
2736147,91479,5
2736147,16356,5
2736147,7947239,5
2736147,67035,5
2736147,23793,5
2736147,29997,5
2736147,29998,5
2736147,33482,5
2736147,33484,5
2736147,35814,5
2736147,36133,5
2736147,36135,5
2736147,17738894,5
2736147,62158,5
2736147,68010,5
2736147,1648312,5
2736147,178631832,5
107928784,36381681,5
107928784,7623112,5
107928784,22034,5
107928784,28803832,5
107928784,906557,5
107928784,34499746,5
107928784,583569,5
107928784,670672,5
107928784,670673,5
107928784,91477,5
107928784,30311331,5
107928784,45165647,5
107928784,8998592,5
107928784,35196464,5
107928784,52278309,5
107928784,9256645,5
107928784,52090547,5
107928784,52717988,5
107928784,2426848,5
107928784,24317394,5
151393802,20092561,5
151393802,18874122,5
151393802,33632660,5
151393802,133974,5
151393802,13498737,5
151393802,51876297,5
151393802,279460,5
151393802,279461,5
151393802,44539696,5
151393802,65060588,5
151393802,6598851,5
151393802,16179220,5
151393802,53316316,5
151393802,670686,5
151393802,49256,5
151393802,920649,5
151393802,35152881,5
151393802,39988,5
151393802,18990577,5
151393802,29675406,5
94815246,11996,5
94815246,33917,5
94815246,77810,5
94815246,40961427,5
94815246,29044,5
94815246,6149,5
94815246,38462,5
94815246,5211,5
94815246,19063,5
94815246,14836,5
94815246,29675406,5
94815246,62801,5
94815246,46199,5
94815246,130325089,5
94815246,18521,5
94815246,166997,5
94815246,7613,5
94815246,17800,5
94815246,11297,5
94815246,1848,5
19703758,146548,5
19703758,29044,5
19703758,484167,5
19703758,99561,5
19703758,39988,5
19703758,56894542,5
